,train/loss,train/loss_step,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/ambient_sinkhorn_knopp,test_sample/ambient_to_geodesic_sinkhorn_ratio,test_sample/mmd2,test_sample/tangent_mmd2,test_sample/tangent_to_geodesic_mmd2_ratio,test_sample/ambient_mmd2,test_sample/ambient_to_geodesic_mmd2_ratio,test_sample/epsilon_coverage,test_sample/epsilon_coverage_eps,test_sample/epsilon_precision,test_sample/epsilon_precision_eps,test_sample/tangent_epsilon_coverage,test_sample/tangent_epsilon_coverage_eps,test_sample/tangent_epsilon_precision,test_sample/tangent_epsilon_precision_eps,test_sample/ambient_epsilon_coverage,test_sample/ambient_epsilon_coverage_eps,test_sample/ambient_epsilon_precision,test_sample/ambient_epsilon_precision_eps,test_sample/snr_sinkhorn_r_mean,test_sample/snr_sinkhorn_r_std,test_sample/snr_sinkhorn_r,test_sample/snr_sinkhorn_e_mean,test_sample/snr_sinkhorn_e_std,test_sample/snr_sinkhorn_e,test_sample/snr_ratio_sinkhorn_r_over_e,test_sample/snr_sinkhorn_ambient_mean,test_sample/snr_sinkhorn_ambient_std,test_sample/snr_sinkhorn_ambient,test_sample/snr_ratio_sinkhorn_r_over_ambient,test_sample/snr_mmd2_r_mean,test_sample/snr_mmd2_r_std,test_sample/snr_mmd2_r,test_sample/snr_mmd2_e_mean,test_sample/snr_mmd2_e_std,test_sample/snr_mmd2_e,test_sample/snr_ratio_mmd2_r_over_e,test_sample/snr_mmd2_ambient_mean,test_sample/snr_mmd2_ambient_std,test_sample/snr_mmd2_ambient,test_sample/snr_ratio_mmd2_r_over_ambient,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/tangent_frechet_variance_pred,test_sample/tangent_frechet_variance_target,test_sample/tangent_frechet_variance_ratio,test_sample/ambient_frechet_variance_pred,test_sample/ambient_frechet_variance_target,test_sample/ambient_frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/tangent_dispersion_predicted,test_sample/tangent_dispersion_target,test_sample/tangent_dispersion_ratio,test_sample/ambient_dispersion_predicted,test_sample/ambient_dispersion_target,test_sample/ambient_dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/paired_geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions
norm__euc_d16_c10_r0p35_s34_norm,0.0028962516225874424,0.002885531634092331,0.0028962516225874424,32.0,0.0,0.0028691759798675776,0.0028691759798675776,-4.69473934173584,-4.69473934173584,-4.7212114334106445,-4.711835861206055,0.8156038522720337,0.0,1.0,0.8265332579612732,2.1433491706848145,0.3638308048248291,1.491787314414978,0.0,0.0,0.04225999116897583,0.04225999116897583,1.0,0.04225999116897583,1.0,0.00045120716094970703,0.00045120716094970703,1.0,0.00045120716094970703,1.0,0.5375000238418579,0.2307625710964203,0.5841666460037231,0.2307625710964203,0.5375000238418579,0.2307625710964203,0.5841666460037231,0.2307625710964203,0.5375000238418579,0.2307625710964203,0.5841666460037231,0.2307625710964203,0.04826302081346512,0.00016479702026117593,292.8634338378906,0.04824891686439514,0.0001577512448420748,305.85443115234375,0.9575255513191223,0.04827890917658806,0.00013926115934737027,346.6789245605469,0.8447685837745667,0.00048367181443609297,4.396386430016719e-05,11.00157642364502,0.0004876097373198718,3.7375310057541355e-05,13.046305656433105,0.8432713747024536,0.0004812240949831903,3.124772774754092e-05,15.400290489196777,0.7143746614456177,0.11556451767683029,0.12533722817897797,0.9220285415649414,0.11556451767683029,0.12533722817897797,0.9220285415649414,0.11556451767683029,0.12533722817897797,0.9220285415649414,0.47338733077049255,0.49428054690361023,0.9577299952507019,0.47338733077049255,0.49428054690361023,0.9577299952507019,0.47338733077049255,0.49428054690361023,0.9577299952507019,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4841039180755615,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.35,,,True
norm__euc_d16_c10_r0p35_s42_norm,0.0028866855427622795,0.0027422199491411448,0.0028866855427622795,32.0,0.0,0.0028074560686945915,0.0028074560686945915,-4.735886096954346,-4.735886096954346,-4.754917621612549,-4.7493815422058105,0.8217604160308838,0.0,1.0,0.8295081257820129,2.1694676876068115,0.36557599902153015,1.5094369649887085,0.0,0.0,0.04158923029899597,0.04158923029899597,1.0,0.04158923029899597,1.0,0.0005817413330078125,0.0005817413330078125,1.0,0.0005817413330078125,1.0,0.5516666769981384,0.23085390031337738,0.6119999885559082,0.23085390031337738,0.5516666769981384,0.23085390031337738,0.6119999885559082,0.23085390031337738,0.5516666769981384,0.23085390031337738,0.6119999885559082,0.23085390031337738,0.04750816524028778,0.00019063182116951793,249.21420288085938,0.04758729413151741,0.00017168254998978227,277.1818542480469,0.8991000056266785,0.047517988830804825,0.00016124242392834276,294.6990661621094,0.8456565737724304,0.0006025672191753983,3.842764999717474e-05,15.680563926696777,0.0006141305202618241,4.494451422942802e-05,13.664193153381348,1.1475660800933838,0.0006105900392867625,3.519226811476983e-05,17.35011863708496,0.9037727117538452,0.11375109851360321,0.12507353723049164,0.909473717212677,0.11375109851360321,0.12507353723049164,0.909473717212677,0.11375109851360321,0.12507353723049164,0.909473717212677,0.4695264995098114,0.49375349283218384,0.9509329199790955,0.4695264995098114,0.49375349283218384,0.9509329199790955,0.4695264995098114,0.49375349283218384,0.9509329199790955,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.48137366771698,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.35,,,True
norm__euc_d16_c10_r0p35_s50_norm,0.0029142512939870358,0.002721192315220833,0.0029142512939870358,32.0,0.0,0.0028793709352612495,0.0028793709352612495,-4.733432292938232,-4.733432292938232,-4.737356185913086,-4.74263334274292,0.8245810270309448,0.0,1.0,0.8319978713989258,2.0923192501068115,0.3637811541557312,1.5052801370620728,0.0,0.0,0.041639626026153564,0.041639626026153564,1.0,0.041639626026153564,1.0,0.0004194974899291992,0.0004194974899291992,1.0,0.0004194974899291992,1.0,0.5274999737739563,0.22888116538524628,0.5846666693687439,0.22888116538524628,0.5274999737739563,0.22888116538524628,0.5846666693687439,0.22888116538524628,0.5274999737739563,0.22888116538524628,0.5846666693687439,0.22888116538524628,0.04754142090678215,0.0001659481495153159,286.4836120605469,0.04758687689900398,0.0001785510394256562,266.5169677734375,1.074916958808899,0.04760339483618736,0.0001479954516980797,321.6544189453125,0.8906564712524414,0.0004523913376033306,3.333892527734861e-05,13.569463729858398,0.0004547993594314903,3.1927160307532176e-05,14.244904518127441,0.9525836706161499,0.00045014620991423726,3.704426853801124e-05,12.151575088500977,1.1166834831237793,0.11470659077167511,0.12433658540248871,0.9225490093231201,0.11470659077167511,0.12433658540248871,0.9225490093231201,0.11470659077167511,0.12433658540248871,0.9225490093231201,0.4714507758617401,0.49228593707084656,0.9576766490936279,0.4714507758617401,0.49228593707084656,0.9576766490936279,0.4714507758617401,0.49228593707084656,0.9576766490936279,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4822525084018707,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.35,,,True
norm__euc_d16_c10_r0p60_s34_norm,0.004440074786543846,0.004500137642025948,0.004440074786543846,44.0,0.0,0.0044617182575166225,0.0044617182575166225,4.21908712387085,4.21908712387085,1.5113751888275146,1.5115963220596313,0.48351144790649414,0.0,1.0,0.6542252898216248,1.7771861553192139,0.23554131388664246,1.1174612045288086,0.0,0.0,0.2312658429145813,0.2312658429145813,1.0,0.2312658429145813,1.0,0.006382942199707031,0.006382942199707031,1.0,0.006382942199707031,1.0,0.6488333344459534,0.39815381169319153,0.8069999814033508,0.39815381169319153,0.6488333344459534,0.39815381169319153,0.8069999814033508,0.39815381169319153,0.6488333344459534,0.39815381169319153,0.8069999814033508,0.39815381169319153,0.24223588407039642,0.0002540378482080996,953.54248046875,0.24222184717655182,0.0002725253871176392,888.8046875,1.072836995124817,0.24224287271499634,0.00024124533229041845,1004.135009765625,0.9496157765388489,0.006413002498447895,7.830747199477628e-05,81.89515686035156,0.006428730674088001,7.70480910432525e-05,83.43789672851562,0.98151034116745,0.006412125192582607,7.088587153702974e-05,90.45702362060547,0.9053487777709961,0.24732030928134918,0.363046795129776,0.6812353730201721,0.24732030928134918,0.363046795129776,0.6812353730201721,0.24732030928134918,0.363046795129776,0.6812353730201721,0.6928514838218689,0.8437738418579102,0.821134090423584,0.6928514838218689,0.8437738418579102,0.821134090423584,0.6928514838218689,0.8437738418579102,0.821134090423584,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7728144526481628,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6,,,True
norm__euc_d16_c10_r0p60_s42_norm,0.004460259806364775,0.004419827833771706,0.004460259806364775,44.0,0.0,0.0044264658354222775,0.0044264658354222775,4.192391872406006,4.192391872406006,1.5375449657440186,1.5408391952514648,0.4840221405029297,0.0,1.0,0.6541564464569092,1.7558434009552002,0.2368210405111313,1.1349108219146729,0.0,0.0,0.230592280626297,0.230592280626297,1.0,0.230592280626297,1.0,0.006623268127441406,0.006623268127441406,1.0,0.006623268127441406,1.0,0.6470000147819519,0.3973657488822937,0.8056666851043701,0.3973657488822937,0.6470000147819519,0.3973657488822937,0.8056666851043701,0.3973657488822937,0.6470000147819519,0.3973657488822937,0.8056666851043701,0.3973657488822937,0.24154210090637207,0.00030480953864753246,792.4361572265625,0.24163775146007538,0.0002952501818072051,818.4169921875,0.9682547450065613,0.24152888357639313,0.0002851831668522209,846.9254760742188,0.9356622099876404,0.006633305922150612,6.406423926819116e-05,103.54146575927734,0.006659058853983879,0.0001074926185538061,61.9489860534668,1.6713988780975342,0.006653428543359041,7.406702206935734e-05,89.829833984375,1.1526401042938232,0.24543529748916626,0.3626132309436798,0.6768514513969421,0.24543529748916626,0.3626132309436798,0.6768514513969421,0.24543529748916626,0.3626132309436798,0.6768514513969421,0.6900278329849243,0.8432673215866089,0.8182787895202637,0.6900278329849243,0.8432673215866089,0.8182787895202637,0.6900278329849243,0.8432673215866089,0.8182787895202637,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7701526880264282,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6,,,True
norm__euc_d16_c10_r0p60_s50_norm,0.004446949809789658,0.004350641742348671,0.004446949809789658,42.0,0.0,0.0044517372734844685,0.0044517372734844685,4.221249580383301,4.221249580383301,1.5806081295013428,1.5869834423065186,0.48241126537323,0.0,1.0,0.6537618041038513,1.5996379852294922,0.23452331125736237,1.1247642040252686,0.0,0.0,0.23067498207092285,0.23067498207092285,1.0,0.23067498207092285,1.0,0.006169199477881193,0.006169199477881193,1.0,0.006169199477881193,1.0,0.6445000171661377,0.39734947681427,0.8075000047683716,0.39734947681427,0.6445000171661377,0.39734947681427,0.8075000047683716,0.39734947681427,0.6445000171661377,0.39734947681427,0.8075000047683716,0.39734947681427,0.24157942831516266,0.00030378749943338335,795.2249755859375,0.24164098501205444,0.00031696000951342285,762.37060546875,1.0430951118469238,0.24168169498443604,0.00025903276400640607,933.0159912109375,0.852316677570343,0.006195299327373505,8.789026469457895e-05,70.48902130126953,0.006216332316398621,7.693357474636286e-05,80.80128479003906,0.8723750114440918,0.006202880758792162,8.47986520966515e-05,73.1483383178711,0.9636448621749878,0.24802079796791077,0.3613557517528534,0.6863617897033691,0.24802076816558838,0.361355721950531,0.6863617897033691,0.24802076816558838,0.361355721950531,0.6863617897033691,0.693589985370636,0.8418055772781372,0.8239313960075378,0.693589985370636,0.8418055772781372,0.8239313960075378,0.693589985370636,0.8418055772781372,0.8239313960075378,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7721680402755737,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6,,,True
norm__euc_d16_c10_r0p85_s34_norm,0.006249694619327784,0.006110782735049725,0.006249694619327784,66.0,0.0,0.006274081766605377,0.006274081766605377,9.540635108947754,9.540635108947754,6.641902446746826,6.641826152801514,0.4490298926830292,0.0,1.0,0.48581555485725403,1.963537573814392,0.4614509344100952,1.327352523803711,0.0,0.0,0.4443565607070923,0.4443565607070923,1.0,0.4443565607070923,1.0,0.0062220096588134766,0.0062220096588134766,1.0,0.0062220096588134766,1.0,0.690666675567627,0.5654150247573853,0.7821666598320007,0.5654150247573853,0.690666675567627,0.5654150247573853,0.7821666598320007,0.5654150247573853,0.690666675567627,0.5654150247573853,0.7821666598320007,0.5654150247573853,0.4562374949455261,0.0002679370518308133,1702.7786865234375,0.45621204376220703,0.00029788745450787246,1531.4913330078125,1.111843466758728,0.4562230706214905,0.0002837318752426654,1607.9373779296875,1.0589832067489624,0.006253275088965893,7.121199450921267e-05,87.81209564208984,0.006261845119297504,6.498787115560845e-05,96.35406494140625,0.9113481640815735,0.0062474096193909645,6.0493795899674296e-05,103.2735595703125,0.8502863049507141,0.49640414118766785,0.725729763507843,0.684006929397583,0.49640414118766785,0.725729763507843,0.684006929397583,0.49640414118766785,0.725729763507843,0.684006929397583,0.9829642176628113,1.1939271688461304,0.8233032822608948,0.9829642176628113,1.1939271688461304,0.8233032822608948,0.9829642176628113,1.1939271688461304,0.8233032822608948,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0946062803268433,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.85,,,True
norm__euc_d16_c10_r0p85_s42_norm,0.006260172463953495,0.006333071738481522,0.006260172463953495,54.0,0.0,0.006304821465164423,0.006304821465164423,9.409079551696777,9.409079551696777,6.755045413970947,6.755702972412109,0.4399811923503876,0.0,1.0,0.48111778497695923,2.201188564300537,0.4565727114677429,1.3759469985961914,0.0,0.0,0.44492650032043457,0.44492650032043457,1.0,0.44492650032043457,1.0,0.006032347213476896,0.006032347213476896,1.0,0.006032347213476896,1.0,0.6861666440963745,0.5646842122077942,0.7696666717529297,0.5646842122077942,0.6861666440963745,0.5646842122077942,0.7696666717529297,0.5646842122077942,0.6861666440963745,0.5646842122077942,0.7696666717529297,0.5646842122077942,0.45680078864097595,0.0003033531829714775,1505.838134765625,0.4568581283092499,0.0002905779692810029,1572.2393798828125,0.9577665328979492,0.45676642656326294,0.00031600528745912015,1445.4393310546875,1.041785717010498,0.006048409268260002,5.889523163205013e-05,102.69778442382812,0.006066644564270973,8.340943168150261e-05,72.73331451416016,1.4119771718978882,0.0060602109879255295,6.429073982872069e-05,94.26258087158203,1.0894862413406372,0.49930012226104736,0.7251375913619995,0.6885591745376587,0.49930012226104736,0.7251375913619995,0.6885591745376587,0.49930012226104736,0.7251375913619995,0.6885591745376587,0.9856371283531189,1.1934375762939453,0.825880765914917,0.9856371283531189,1.1934375762939453,0.825880765914917,0.9856371283531189,1.1934375762939453,0.825880765914917,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0939044952392578,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.85,,,True
norm__euc_d16_c10_r0p85_s50_norm,0.00625761179253459,0.006138363853096962,0.00625761179253459,52.0,0.0,0.006269526202231646,0.006269526202231646,9.333636283874512,9.333636283874512,6.734687328338623,6.750243663787842,0.44631898403167725,0.0,1.0,0.4859147071838379,2.161179780960083,0.4584423005580902,1.3617675304412842,0.0,0.0,0.44442859292030334,0.44442859292030334,1.0,0.44442859292030334,1.0,0.005835175979882479,0.005835175979882479,1.0,0.005835175979882479,1.0,0.6891666650772095,0.5651885867118835,0.7816666960716248,0.5651885867118835,0.6891666650772095,0.5651885867118835,0.7816666960716248,0.5651885867118835,0.6891666650772095,0.5651885867118835,0.7816666960716248,0.5651885867118835,0.456199586391449,0.00032485389965586364,1404.3223876953125,0.4563009738922119,0.00037013969267718494,1232.7803955078125,1.1391505002975464,0.45632702112197876,0.00028332488727755845,1610.614013671875,0.8719174265861511,0.005861544981598854,7.6559983426705e-05,76.56147003173828,0.005878107156604528,6.583446520380676e-05,89.28616333007812,0.8574841022491455,0.005867632571607828,7.546561391791329e-05,77.75240325927734,0.9846829175949097,0.501375138759613,0.7233578562736511,0.6931219100952148,0.501375138759613,0.7233578562736511,0.6931219100952148,0.501375138759613,0.7233578562736511,0.6931219100952148,0.9876626133918762,1.191977620124817,0.828591525554657,0.9876626133918762,1.191977620124817,0.828591525554657,0.9876626133918762,1.191977620124817,0.828591525554657,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0959562063217163,euclidean,10.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.85,,,True
norm__euc_d16_c1_r0p35_s34_norm,0.0028962516225874424,0.002885531634092331,0.0028962516225874424,32.0,0.0,0.0028691759798675776,0.0028691759798675776,-4.69473934173584,-4.69473934173584,-4.7212114334106445,-4.711835861206055,0.8156038522720337,0.0,1.0,0.8265332579612732,2.1433491706848145,0.3638308048248291,1.491787314414978,0.0,0.0,0.04225999116897583,0.04225999116897583,1.0,0.04225999116897583,1.0,0.00045120716094970703,0.00045120716094970703,1.0,0.00045120716094970703,1.0,0.5375000238418579,0.2307625710964203,0.5841666460037231,0.2307625710964203,0.5375000238418579,0.2307625710964203,0.5841666460037231,0.2307625710964203,0.5375000238418579,0.2307625710964203,0.5841666460037231,0.2307625710964203,0.04826302081346512,0.00016479702026117593,292.8634338378906,0.04824891686439514,0.0001577512448420748,305.85443115234375,0.9575255513191223,0.04827890917658806,0.00013926115934737027,346.6789245605469,0.8447685837745667,0.00048367181443609297,4.396386430016719e-05,11.00157642364502,0.0004876097373198718,3.7375310057541355e-05,13.046305656433105,0.8432713747024536,0.0004812240949831903,3.124772774754092e-05,15.400290489196777,0.7143746614456177,0.11556451767683029,0.12533722817897797,0.9220285415649414,0.11556451767683029,0.12533722817897797,0.9220285415649414,0.11556451767683029,0.12533722817897797,0.9220285415649414,0.47338733077049255,0.49428054690361023,0.9577299952507019,0.47338733077049255,0.49428054690361023,0.9577299952507019,0.47338733077049255,0.49428054690361023,0.9577299952507019,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4841039180755615,euclidean,1.0,16,gaussian,gaussian-ring,60000,0.3,0.05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.35,,,True
